option_type,delta,gamma,theta,vega,iv,return_exp
PUT,-0.90972,0.00287,-0.26035,0.19273,0.47939,0.0250574712643672
PUT,-0.91059,0.00177,-0.03904,0.1469,0.32043,0.7328118209474141
PUT,-0.99682,0.00033,-0.09159,0.00424,0.67696,0.0987172336865587
PUT,-1.0,0.0,0.0,0.0,,0.0288396104657984
PUT,-1.0,0.0,0.0,1.51784,0.00012,0.0090929351459771
PUT,-1.0,0.0,0.0,0.0,,-0.6682128240109142
PUT,-1.0,0.0,0.0,0.0,,-1.0
PUT,-1.0,0.0,0.0,-2596.19962,,0.0677241512718831
PUT,-1.0,0.0,0.0,0.0,,0.0164733868569728
PUT,-0.90769,0.06054,-0.09586,0.03635,0.11181,-0.0264705882352935
PUT,-0.96858,0.00066,-0.15652,0.11176,0.7081,0.364267064528161
PUT,-0.90979,0.00581,-0.12698,0.04503,0.65011,1.1229283990345935
PUT,-1.0,0.0,0.0,0.0,,0.0112699747687131
PUT,-0.971,0.00166,-0.05853,0.05811,0.3826,0.6208918753817962
PUT,-0.94311,0.00152,-0.20478,0.07488,0.35089,-0.4300390843104416
PUT,-0.90306,0.00065,-0.152,0.0669,0.76496,-0.7064944929737943
PUT,-1.0,0.0,0.0,0.0,,-0.1806827643630307
PUT,-0.98882,0.00046,-0.52963,0.00492,2.9489,-0.0033952594490712
PUT,-0.90991,0.00039,-0.26912,0.20126,0.58231,-0.1647001777921445
PUT,-1.0,0.0,0.0,0.0,,0.0704590609641326
PUT,-0.93642,0.00707,-0.08472,0.01367,0.69281,-1.0
PUT,-1.0,0.0,0.0,0.0,,-0.0902684563758389
PUT,-1.0,0.0,0.0,0.0,,0.1747840000000001
PUT,-0.9991,0.0,-0.04808,0.0,0.00074,-0.2460638776428254
PUT,-0.94233,0.00265,-0.09857,0.11321,0.43945,-0.5260300223570742
PUT,-0.99471,0.00028,-0.03422,0.01083,0.64248,-0.11052029731275
PUT,-1.0,0.0,0.0,-1110.99981,,-0.6338104976141784
PUT,-1.0,0.0,0.0,0.0,,0.1971304347826088
PUT,-0.93687,0.02417,-0.05486,0.00741,0.5389,-0.0099547511312219
PUT,-1.0,0.0,0.0,0.0,,-0.0319726099552279
PUT,-0.90271,0.00015,-0.0798,0.11497,0.62828,-0.6536734693877552
PUT,-0.97862,0.00059,-0.16522,0.04709,0.85393,-0.1496173629406597
